,date,maximum temperature (degC),was nan
0,1975-03-01,24.3,False
1,1975-03-02,26.3,False
2,1975-03-03,24.1,False
3,1975-03-04,19.9,False
4,1975-03-05,23.1,False
5,1975-03-06,29.2,False
6,1975-03-07,22.7,False
7,1975-03-08,18.9,False
8,1975-03-09,19.8,False
9,1975-03-10,21.5,False
10,1975-03-11,21.0,False
11,1975-03-12,24.0,False
12,1975-03-13,24.3,False
13,1975-03-14,24.6,False
14,1975-03-15,27.7,False
15,1975-03-16,24.0,False
16,1975-03-17,24.5,False
17,1975-03-18,21.5,False
18,1975-03-19,24.5,False
19,1975-03-20,20.0,False
20,1975-03-21,21.5,False
21,1975-03-22,19.8,False
22,1975-03-23,24.0,False
23,1975-03-24,17.3,False
24,1975-03-25,19.0,False
25,1975-03-26,22.4,False
26,1975-03-27,31.1,False
27,1975-03-28,21.0,False
28,1975-03-29,20.9,False
29,1975-03-30,20.1,False
30,1975-03-31,19.6,False
31,1975-04-01,16.8,False
32,1975-04-02,18.5,False
33,1975-04-03,21.1,False
34,1975-04-04,26.1,False
35,1975-04-05,26.4,False
36,1975-04-06,16.6,False
37,1975-04-07,18.2,False
38,1975-04-08,18.8,False
39,1975-04-09,20.7,False
40,1975-04-10,15.3,False
41,1975-04-11,18.2,False
42,1975-04-12,18.4,False
43,1975-04-13,21.1,False
44,1975-04-14,21.3,False
45,1975-04-15,23.3,False
46,1975-04-16,21.5,False
47,1975-04-17,20.4,False
48,1975-04-18,18.8,False
49,1975-04-19,16.9,False
50,1975-04-20,15.2,False
51,1975-04-21,17.2,False
52,1975-04-22,17.5,False
53,1975-04-23,14.8,False
54,1975-04-24,15.3,False
55,1975-04-25,17.0,False
56,1975-04-26,22.5,False
57,1975-04-27,21.7,False
58,1975-04-28,17.0,False
59,1975-04-29,25.8,False
60,1975-04-30,17.2,False
61,1975-05-01,17.4,False
62,1975-05-02,17.4,False
63,1975-05-03,19.6,False
64,1975-05-04,18.5,False
65,1975-05-05,18.8,False
66,1975-05-06,22.5,False
67,1975-05-07,25.2,False
68,1975-05-08,15.9,False
69,1975-05-09,20.3,False
70,1975-05-10,17.4,False
71,1975-05-11,18.6,False
72,1975-05-12,18.8,False
73,1975-05-13,21.5,False
74,1975-05-14,16.3,False
75,1975-05-15,18.0,False
76,1975-05-16,17.4,False
77,1975-05-17,21.6,False
78,1975-05-18,21.2,False
79,1975-05-19,24.0,False
80,1975-05-20,21.4,False
81,1975-05-21,25.7,False
82,1975-05-22,19.6,False
83,1975-05-23,22.3,False
84,1975-05-24,19.6,False
85,1975-05-25,17.4,False
86,1975-05-26,15.9,False
87,1975-05-27,14.8,False
88,1975-05-28,16.7,False
89,1975-05-29,20.9,False
90,1975-05-30,17.2,False
91,1975-05-31,18.5,False
92,1975-06-01,19.0,False
93,1975-06-02,17.6,False
94,1975-06-03,22.3,False
95,1975-06-04,15.6,False
96,1975-06-05,10.9,False
97,1975-06-06,13.2,False
98,1975-06-07,13.8,False
99,1975-06-08,16.9,False
100,1975-06-09,15.8,False
101,1975-06-10,11.5,False
102,1975-06-11,10.0,False
103,1975-06-12,10.9,False
104,1975-06-13,11.4,False
105,1975-06-14,12.4,False
106,1975-06-15,12.5,False
107,1975-06-16,10.5,False
108,1975-06-17,11.7,False
109,1975-06-18,12.8,False
110,1975-06-19,12.8,False
111,1975-06-20,12.8,False
112,1975-06-21,13.2,False
113,1975-06-22,12.3,False
114,1975-06-23,12.5,False
115,1975-06-24,12.3,False
116,1975-06-25,10.7,False
117,1975-06-26,13.2,False
118,1975-06-27,16.8,False
119,1975-06-28,16.2,False
120,1975-06-29,15.9,False
121,1975-06-30,16.3,False
122,1975-07-01,14.7,False
123,1975-07-02,12.3,False
124,1975-07-03,12.1,False
125,1975-07-04,14.5,False
126,1975-07-05,13.0,False
127,1975-07-06,12.1,False
128,1975-07-07,12.3,False
129,1975-07-08,15.3,False
130,1975-07-09,16.5,False
131,1975-07-10,16.8,False
132,1975-07-11,15.7,False
133,1975-07-12,13.7,False
134,1975-07-13,19.5,False
135,1975-07-14,13.7,False
136,1975-07-15,14.9,False
137,1975-07-16,14.5,False
138,1975-07-17,13.0,False
139,1975-07-18,14.6,False
140,1975-07-19,16.8,False
141,1975-07-20,17.8,False
142,1975-07-21,13.7,False
143,1975-07-22,20.8,False
144,1975-07-23,20.7,False
145,1975-07-24,15.4,False
146,1975-07-25,21.6,False
147,1975-07-26,22.9,False
148,1975-07-27,20.5,False
149,1975-07-28,25.1,False
150,1975-07-29,21.5,False
151,1975-07-30,24.1,False
152,1975-07-31,13.1,False
153,1975-08-01,13.8,False
154,1975-08-02,12.1,False
155,1975-08-03,12.7,False
156,1975-08-04,13.8,False
157,1975-08-05,16.6,False
158,1975-08-06,14.6,False
159,1975-08-07,11.8,False
160,1975-08-08,16.2,False
161,1975-08-09,18.1,False
162,1975-08-10,18.1,False
163,1975-08-11,10.4,False
164,1975-08-12,9.7,False
165,1975-08-13,13.8,False
166,1975-08-14,11.7,False
167,1975-08-15,13.0,False
168,1975-08-16,14.9,False
169,1975-08-17,13.8,False
170,1975-08-18,15.0,False
171,1975-08-19,15.5,False
172,1975-08-20,17.3,False
173,1975-08-21,17.3,False
174,1975-08-22,17.9,False
175,1975-08-23,14.7,False
176,1975-08-24,12.7,False
177,1975-08-25,16.7,False
178,1975-08-26,13.8,False
179,1975-08-27,16.2,False
180,1975-08-28,13.7,False
181,1975-08-29,15.0,False
182,1975-08-30,13.8,False
183,1975-08-31,14.0,False
184,1975-09-01,16.1,False
185,1975-09-02,21.3,False
186,1975-09-03,10.5,False
187,1975-09-04,8.3,False
188,1975-09-05,12.4,False
189,1975-09-06,15.5,False
190,1975-09-07,16.1,False
191,1975-09-08,18.9,False
192,1975-09-09,24.2,False
193,1975-09-10,21.5,False
194,1975-09-11,16.9,False
195,1975-09-12,25.9,False
196,1975-09-13,20.3,False
197,1975-09-14,15.0,False
