,f (/years),component
0,0.0,(392631.8999999999+8.903100479074055e-12j)
1,0.020475950218634378,(48.67061154836446+4931.080195320472j)
2,0.040951900437268755,(-1677.1615316722252+807.8293597510717j)
3,0.06142785065590313,(-1084.8368388693048+728.4850846833656j)
4,0.08190380087453751,(-2054.540920335381-144.27320058303732j)
5,0.10237975109317188,(-2193.620370380403+113.64175316615149j)
6,0.12285570131180626,(1134.05532144894+1464.0063765553657j)
7,0.14333165153044064,(-132.29589534673048+585.041546368852j)
8,0.16380760174907502,(350.0665878543869-1329.6687258734935j)
9,0.18428355196770937,(13.393092565503235-271.8986625885856j)
10,0.20475950218634376,(663.7644777477575+630.9569483875678j)
11,0.22523545240497814,(-836.7030828874706+305.39872923230314j)
12,0.24571140262361252,(-622.1680468524345+75.44279071954313j)
13,0.26618735284224687,(-810.254778605794-125.82412836705286j)
14,0.2866633030608813,(-523.2673652516089+276.8106035449774j)
15,0.30713925327951563,(515.9575853980082+799.8897401195583j)
16,0.32761520349815004,(-930.7268588177882-1761.762559231639j)
17,0.3480911537167844,(-184.57140353898234-140.1285534888466j)
18,0.36856710393541875,(1116.3685191725058+1039.4078526813992j)
19,0.3890430541540531,(976.9403568796557-276.8678964367662j)
20,0.4095190043726875,(-1191.4751622961167-834.6652267004974j)
21,0.4299949545913219,(512.914538533342+742.655686924452j)
22,0.4504709048099563,(-2099.845117434064+365.22886311100945j)
23,0.4709468550285906,(-280.9449597843256-1388.9441356327688j)
24,0.49142280524722504,(77.63522693631778+678.8539048022684j)
25,0.5118987554658595,(96.24283883027564+363.7800986581145j)
26,0.5323747056844937,(-909.7693970693208+938.8251622026125j)
27,0.5528506559031281,(-792.4157361025539-1385.4057962766017j)
28,0.5733266061217626,(-688.8218073463372+103.90704843617922j)
29,0.5938025563403969,(-1625.4349438376767-504.825902005891j)
30,0.6142785065590313,(-562.5103843686062-841.5884452741716j)
31,0.6347544567776656,(-797.9276287452421-272.1563677125417j)
32,0.6552304069963001,(1015.9567930739101+2154.494197135168j)
33,0.6757063572149344,(-2727.248201752422+1523.8750997550276j)
34,0.6961823074335688,(-605.9573811076131-50.96973285413257j)
35,0.7166582576522031,(-729.582658881764+487.65884274819774j)
36,0.7371342078708375,(-697.0755492371176-1011.7754953918225j)
37,0.757610158089472,(-289.1238758174897+1471.5337848427953j)
38,0.7780861083081062,(-1591.6770304671545+209.46852728951404j)
39,0.7985620585267407,(-1043.9902878216014+256.50738027011766j)
40,0.819038008745375,(-1213.5019277654537-938.6319861400466j)
41,0.8395139589640095,(-3027.0154644084473-854.0352045278125j)
42,0.8599899091826438,(-1522.393702115239+52.98838532580868j)
43,0.8804658594012781,(-66.63542033431534+830.0207517470986j)
44,0.9009418096199125,(-3198.4932240636326-555.7570126224408j)
45,0.921417759838547,(-2412.3911402228778-430.8046521438987j)
46,0.9418937100571813,(-4694.372360093537-1203.7039879568756j)
47,0.9623696602758156,(-6184.881098141889-1030.8381872561322j)
48,0.9828456104944501,(-9074.374367967934-2057.0108307491296j)
49,1.0033215607130845,(57901.894344642125+10376.90595316776j)
50,1.023797510931719,(6931.50414413193+2893.381312999038j)
51,1.0442734611503532,(3383.818675494774+936.067742439298j)
52,1.0647494113689875,(2615.779753558045+237.84865285941953j)
53,1.085225361587622,(1346.1301455954365+492.2869420440778j)
54,1.1057013118062562,(587.0287193445936-542.8080461616383j)
55,1.1261772620248907,(316.59992505515123+1082.6837489144373j)
56,1.1466532122435251,(1253.5060522879498-50.43646439425254j)
57,1.1671291624621596,(1681.7910245270293-283.84287743249774j)
58,1.1876051126807938,(1411.8475018763475-164.70519100345405j)
59,1.208081062899428,(2071.3991046649107+69.39390864513541j)
60,1.2285570131180625,(720.999882189637+373.7371879246094j)
61,1.249032963336697,(-77.76116776304195+1462.0548146702101j)
62,1.2695089135553312,(590.8390488883102+1047.000344275813j)
63,1.2899848637739657,(232.5909942277357-83.38545327488119j)
64,1.3104608139926002,(246.80648133020713+1389.3940993416124j)
65,1.3309367642112344,(-51.57525669455342-424.2814727589916j)
66,1.3514127144298689,(528.3441191532386+943.5078481044809j)
67,1.3718886646485031,(-1191.2412918768764-455.2981231451947j)
68,1.3923646148671376,(256.20635930099365+726.6872772894804j)
69,1.412840565085772,(-674.1317500784893-343.0142420442235j)
70,1.4333165153044063,(-650.3224829092167-446.0931402206856j)
71,1.4537924655230408,(-87.70792596684683+496.44466158075386j)
72,1.474268415741675,(-213.72261356697095+121.20648058827592j)
73,1.4947443659603095,(-614.122001905456+1574.2887039604798j)
74,1.515220316178944,(1362.1934288394755+19.904442071027006j)
75,1.5356962663975784,(-961.8272376506327+597.5728014043118j)
76,1.5561722166162124,(1628.0524781968857-101.35651579497664j)
77,1.5766481668348469,(-374.03346514186615+254.13505338028298j)
78,1.5971241170534813,(172.83189927042656-1614.8277600907497j)
79,1.6176000672721156,(1524.4460830145306+522.3481033030437j)
80,1.63807601749075,(-899.3500409457001-291.59083885329557j)
81,1.6585519677093845,(-554.8382314477294-292.9862435256798j)
82,1.679027917928019,(-1294.775748339344-201.77286157627395j)
83,1.6995038681466534,(-364.19262868979+371.3063720073777j)
84,1.7199798183652877,(1342.514311792994-222.92028058953844j)
85,1.740455768583922,(-827.4199461252871-160.07972055619916j)
86,1.7609317188025562,(-293.50058366862925+221.63416049849565j)
87,1.7814076690211906,(-890.9800289345619-311.64563485860947j)
88,1.801883619239825,(-715.138735866222+709.4674048613216j)
89,1.8223595694584596,(-688.0798332624371-792.0178035466447j)
90,1.842835519677094,(326.9561125457834+295.84086690731493j)
91,1.8633114698957283,(-873.517354724797+965.4205447924151j)
92,1.8837874201143625,(-191.4225368093578+375.81753299622676j)
93,1.904263370332997,(-580.2966505021935+314.35270819149844j)
94,1.9247393205516312,(-182.05991923218414-360.9437186966503j)
95,1.9452152707702657,(-1584.6698502919085+257.9088796006181j)
96,1.9656912209889001,(100.6633349007065+1723.3841669237734j)
97,1.9861671712075346,(-836.6535554695121+2604.164176234881j)
98,2.006643121426169,(2141.003558848422-3396.197559516664j)
99,2.0271190716448033,(384.79800063875774-394.0953982259889j)
100,2.047595021863438,(1154.9344296940096+422.15215239580823j)
101,2.068070972082072,(98.05706115198296-1179.8048588589538j)
102,2.0885469223007065,(596.2056616162079-38.77925204793077j)
103,2.1090228725193407,(-638.7804178148922+475.9132614854416j)
104,2.129498822737975,(627.4704457524349-694.2400058770404j)
105,2.1499747729566097,(923.9157445857204+338.96427546093463j)
106,2.170450723175244,(474.96529559740657-1300.954685647631j)
107,2.1909266733938786,(132.4177419259693-708.4789027861236j)
