,f (/days),component
0,0.0,(315545.99999999994+6.59383658785373e-12j)
1,5.606009642336585e-05,(163.6485277723189+1096.9838883529j)
2,0.0001121201928467317,(-1350.971616484672+480.327379252055j)
3,0.00016818028927009755,(-942.1606861207331+1083.2040995473815j)
4,0.0002242403856934634,(-238.55496570883653-1400.6782338125608j)
5,0.00028030048211682924,(-2500.22376298584+123.21583794591888j)
6,0.0003363605785401951,(303.0874319837578+987.63413923838j)
7,0.00039242067496356094,(361.9412140127521+996.6000296617163j)
8,0.0004484807713869268,(1387.4341351715811-1436.9014997672577j)
9,0.0005045408678102926,(-480.6288191365179+186.46835145931246j)
10,0.0005606009642336585,(811.269752279145+1532.0539280773935j)
11,0.0006166610606570243,(250.02593769383446-662.4521362529408j)
12,0.0006727211570803902,(-838.7473290286671+141.6954394064477j)
13,0.000728781253503756,(-109.82689560651012+98.51612757517051j)
14,0.0007848413499271219,(-83.09322794846858+230.23604971363176j)
15,0.0008409014463504877,(-225.64142644458258+912.3299331222777j)
16,0.0008969615427738536,(-716.9275413736226-1092.5268330405863j)
17,0.0009530216391972194,(-687.6640187556604-125.98801025925972j)
18,0.0010090817356205853,(1001.3223525585661-560.1673317985187j)
19,0.001065141832043951,(446.117354989037+626.7623005274058j)
20,0.001121201928467317,(-987.7062069007159-1306.9126358409467j)
21,0.001177262024890683,(334.74932495663637+292.3707708113609j)
22,0.0012333221213140487,(-799.4882742763424+936.5329045119312j)
23,0.0012893822177374144,(-1021.0796021705991-754.1076527783791j)
24,0.0013454423141607804,(140.79401191948207-116.106680478195j)
25,0.0014015024105841463,(158.18395580940447+103.39732663740052j)
26,0.001457562507007512,(-635.9968903676463+1218.5973794214028j)
27,0.0015136226034308778,(-534.5238505888719-694.2398057527606j)
28,0.0015696826998542438,(-983.3395685806425-792.5323219284377j)
29,0.0016257427962776097,(-1281.2419363873755-33.586136112074456j)
30,0.0016818028927009755,(-679.2733863318429-1075.6135942567357j)
31,0.0017378629891243412,(-990.3018437294814-127.92932719775845j)
