,f (/years),component
0,0.0,(348925.1+7.851497230149107e-12j)
1,0.020475950218634378,(-617.3697228781936+3905.1661702920683j)
2,0.040951900437268755,(-722.1439688331419+251.62494243511648j)
3,0.06142785065590313,(-1932.237912173295+223.24051168789666j)
4,0.08190380087453751,(-1865.367116595184-556.1002963156368j)
5,0.10237975109317188,(-1219.194669811462+94.04188906413785j)
6,0.12285570131180626,(808.2717390285796+1204.3585535777763j)
7,0.14333165153044064,(-511.65580985344707-40.1014810382012j)
8,0.16380760174907502,(-329.3190708877374-894.2132396781876j)
9,0.18428355196770937,(261.25835543481446-323.5175733908813j)
10,0.20475950218634376,(814.7355100080247-154.54143552448048j)
11,0.22523545240497814,(-842.5299942757922+1120.5972961719624j)
12,0.24571140262361252,(48.584398562035915-88.52688185575232j)
13,0.26618735284224687,(-728.3840628934383-138.6542655090847j)
14,0.2866633030608813,(-399.2765625411506+728.966511750808j)
15,0.30713925327951563,(575.6012388030115+1696.6338960176824j)
16,0.32761520349815004,(-720.2179454684529-1132.5050733052078j)
17,0.3480911537167844,(-383.92542096645604+479.1947415997245j)
18,0.36856710393541875,(1413.5190817309833+566.6376283616071j)
19,0.3890430541540531,(1058.2741954827502-961.2346443356672j)
20,0.4095190043726875,(-811.3995851470147-356.1725609013916j)
21,0.4299949545913219,(111.8583002472046+525.3417605452777j)
22,0.4504709048099563,(-1604.7109690387156+756.8228217462058j)
23,0.4709468550285906,(451.49588105557416-1598.953652364674j)
24,0.49142280524722504,(414.07184896395535+536.6143696692267j)
25,0.5118987554658595,(-441.0863568563143+379.8025594768044j)
26,0.5323747056844937,(-932.4574890046512+475.11340500416j)
27,0.5528506559031281,(-657.118447823842-1201.620115227483j)
28,0.5733266061217626,(-1467.914968787173+795.1069360213545j)
29,0.5938025563403969,(-1622.26880208334-674.9475657697988j)
30,0.6142785065590313,(-416.39439985695185-322.2741362180356j)
31,0.6347544567776656,(-1199.574355466669-359.6757114944387j)
32,0.6552304069963001,(689.3160997852794+1827.4699597332924j)
33,0.6757063572149344,(-2546.9956093662554+997.4217583558604j)
34,0.6961823074335688,(-508.66571384616424+1.2585248945765954j)
35,0.7166582576522031,(-581.662041394875+390.70018227163075j)
36,0.7371342078708375,(-533.2680753113606-709.8180891397404j)
37,0.757610158089472,(-530.0744248672875+882.0040625702172j)
38,0.7780861083081062,(-1339.684155103108+286.76492168077266j)
39,0.7985620585267407,(-1312.0453667740203+245.08156393430843j)
40,0.819038008745375,(-1158.4297250078064-1138.524901311464j)
41,0.8395139589640095,(-2802.244556231991-914.9226142413569j)
42,0.8599899091826438,(-2090.9351023870067+24.03965551261365j)
43,0.8804658594012781,(-526.5585297695716+315.2829247775172j)
44,0.9009418096199125,(-3215.855452201815-297.76354597976604j)
45,0.921417759838547,(-2698.067278020235-469.8679744216204j)
46,0.9418937100571813,(-5208.551692182027-1317.418129788472j)
47,0.9623696602758156,(-6473.24959370149-1411.168410055177j)
48,0.9828456104944501,(-11501.758514427383-3599.2366805250717j)
49,1.0033215607130845,(64900.48020894788+18448.477791009613j)
50,1.023797510931719,(8267.786852018511+3785.0182806017797j)
51,1.0442734611503532,(4374.111682403225+1043.8269435282157j)
52,1.0647494113689875,(3166.9205562717198+874.5473867153307j)
53,1.085225361587622,(1645.8043320121533+732.2033001408943j)
54,1.1057013118062562,(1456.670642066994-243.69476323260756j)
55,1.1261772620248907,(396.0536045408275+773.8523126853703j)
56,1.1466532122435251,(1348.8477083182722-307.3811767635231j)
57,1.1671291624621596,(2099.2365972291536+116.43307270255548j)
58,1.1876051126807938,(1042.2541557636737-16.075601945556343j)
59,1.208081062899428,(1787.130308461143+147.6455684383999j)
60,1.2285570131180625,(1539.989568872857+250.8970111940746j)
61,1.249032963336697,(253.87907837184173+1855.627118046404j)
62,1.2695089135553312,(1170.5258568874394+978.9364344627063j)
63,1.2899848637739657,(357.4051269973854-674.4358605763425j)
64,1.3104608139926002,(34.064768526671855+1391.3839381472221j)
65,1.3309367642112344,(189.23625215856327-303.0598780642715j)
66,1.3514127144298689,(-45.48356048622247+1385.0622253547417j)
67,1.3718886646485031,(-1187.25881365828-434.86991835350915j)
68,1.3923646148671376,(537.2592147413491+913.4226774493864j)
69,1.412840565085772,(-759.3033435146763-186.09423313299976j)
70,1.4333165153044063,(50.85812943058233+76.68334671115122j)
71,1.4537924655230408,(635.199185575076+1017.2690146433722j)
72,1.474268415741675,(-294.053542880097+1110.6684100651064j)
73,1.4947443659603095,(-600.3012775371174+1764.0671746425817j)
74,1.515220316178944,(1372.9333335162103-227.612226953265j)
75,1.5356962663975784,(-488.7916457192231+96.2697040841895j)
76,1.5561722166162124,(1813.4216663608436-215.9073097679601j)
77,1.5766481668348469,(-374.3068959335069+663.6642192120421j)
78,1.5971241170534813,(89.46230544281514-1653.9327118637211j)
79,1.6176000672721156,(1546.2423404571882+823.4127220213471j)
80,1.63807601749075,(-1116.0486902121334-267.5875054387768j)
81,1.6585519677093845,(-685.9662643716144-328.6039330367379j)
82,1.679027917928019,(-1232.1101453826736-111.48818744323904j)
83,1.6995038681466534,(-347.9100010664079+708.6176599661073j)
84,1.7199798183652877,(1248.579380270829-118.25917663632015j)
85,1.740455768583922,(-682.660273775926+426.30444814637144j)
86,1.7609317188025562,(86.50437969691657+809.4333556523235j)
87,1.7814076690211906,(-557.8076884985741-125.53295229949113j)
88,1.801883619239825,(-373.8245045876197+736.221180273614j)
89,1.8223595694584596,(-445.7454276673625-199.02478305449014j)
90,1.842835519677094,(210.5815733710088-211.54492714511267j)
91,1.8633114698957283,(-477.8627063926309+1002.4789713576666j)
92,1.8837874201143625,(138.25560150255842+753.8592773540901j)
93,1.904263370332997,(-890.371121367838+641.9786554444154j)
94,1.9247393205516312,(-440.9342330841757+329.82093447555724j)
95,1.9452152707702657,(-1301.7372868083012+496.6352441014149j)
96,1.9656912209889001,(29.24353447155935+1773.4589896993532j)
97,1.9861671712075346,(-984.8116203120865+2498.52183084615j)
98,2.006643121426169,(1622.9543137163673-5015.875310740713j)
99,2.0271190716448033,(94.52849660544933-1173.8885452622792j)
100,2.047595021863438,(792.4910552179342-456.20894815673296j)
101,2.068070972082072,(457.0999415963137-811.6806301886688j)
102,2.0885469223007065,(802.8628528801195-244.49158088977273j)
103,2.1090228725193407,(133.56119541112383+620.6357589266516j)
104,2.129498822737975,(766.5463425485992-1699.4935980846576j)
105,2.1499747729566097,(374.56082871044885-476.27490023943915j)
106,2.170450723175244,(451.79182642943937-1122.7554847584815j)
107,2.1909266733938786,(102.60690755187527-315.3375852122146j)
108,2.2114026236125124,(-344.41210164336263-659.0398372053613j)
109,2.231878573831147,(505.96969251212806+405.1690276572127j)
110,2.2523545240497813,(18.44879043920929+833.945235863687j)
111,2.2728304742684156,(2.4047851182780846+918.4431897822703j)
112,2.2933064244870502,(1068.002020135583-773.249891621693j)
113,2.3137823747056845,(-300.4917263551707+471.63716831911086j)
114,2.334258324924319,(220.45336996656079+167.0151241216434j)
115,2.3547342751429534,(-4.432132734879701+793.3607326498803j)
116,2.3752102253615877,(-715.0520596404505-872.5971424223351j)
117,2.395686175580222,(-107.97657259055126-858.6935771898434j)
118,2.416162125798856,(-190.85653905373852+277.0580114344756j)
119,2.436638076017491,(296.71873121854065+288.7341326721556j)
120,2.457114026236125,(-651.7836236140338+304.4653877576243j)
121,2.4775899764547598,(-270.14394125254233-116.61552803641482j)
122,2.498065926673394,(-301.54192567740904+1662.0092593066533j)
123,2.5185418768920282,(1010.5226833741158+661.7845403777253j)
124,2.5390178271106625,(-810.6074248935738+495.1923350311816j)
125,2.5594937773292967,(679.7288512293628+516.1826406787594j)
126,2.5799697275479314,(450.3658172716822+492.6879386335535j)
127,2.6004456777665657,(-30.554519881855867-1207.2862670747927j)
128,2.6209216279852003,(730.7257842397838+71.18808989014073j)
129,2.6413975782038346,(126.85973126481156+882.6938213574628j)
130,2.661873528422469,(-1683.2247083108107-585.7546061491951j)
131,2.6823494786411035,(-293.13098478112727-145.0862748617896j)
132,2.7028254288597378,(832.4906144884819+642.2593721068608j)
133,2.723301379078372,(761.5519178310038+16.964191114519316j)
134,2.7437773292970062,(-363.74244430156693+777.1313854801133j)
135,2.764253279515641,(425.0096329215001-236.06690136619648j)
136,2.784729229734275,(-276.5229126980403-879.0431497089722j)
137,2.8052051799529094,(1053.2339932171656-1298.3600912930183j)
138,2.825681130171544,(761.272790145099-910.6018689298843j)
139,2.8461570803901783,(-960.6852382356271+793.4538011260643j)
140,2.8666330306088126,(-1049.2787035802492+332.83634927405336j)
141,2.887108980827447,(567.2754346931946-749.1566903767755j)
142,2.9075849310460815,(167.24596021933286-117.95415882983217j)
143,2.9280608812647158,(1033.727899887994-297.00025308788383j)
144,2.94853683148335,(280.3169855404352-469.21078900130783j)
145,2.9690127817019847,(-162.74111017206246-138.40487701321277j)
146,2.989488731920619,(-730.497291282993-537.046735550609j)
147,3.0099646821392536,(1413.745299418153+224.22165280394563j)
148,3.030440632357888,(-529.6911059063336+37.10587927273127j)
149,3.050916582576522,(773.7817872402859+758.1809539575659j)
150,3.071392532795157,(-318.8186894633073-180.6524338671436j)
151,3.091868483013791,(773.6483202598663-179.658477299497j)
152,3.112344433232425,(-749.6284559927786-367.6620923801514j)
153,3.132820383451059,(-712.4190755236207-548.168200775303j)
154,3.1532963336696938,(-870.75033595978-292.7087675771137j)
155,3.173772283888328,(-46.21606321495346+200.56646083072073j)
156,3.1942482341069627,(-299.5351608824329+12.35319447558392j)
157,3.214724184325597,(-523.385551848527-626.861703351422j)
158,3.235200134544231,(527.6017667614188+621.3436080971551j)
159,3.255676084762866,(-207.9416073940667-449.1499877300247j)
160,3.2761520349815,(179.60583956390127-241.47952566132122j)
161,3.296627985200135,(-256.21657167401713+373.9102198726202j)
162,3.317103935418769,(-588.1649787504921-169.80884418943452j)
163,3.3375798856374033,(-564.1915664710946+617.6804078141535j)
164,3.358055835856038,(-254.0355733799421+578.4537468109763j)
165,3.378531786074672,(237.3152408385285-865.3794795889062j)
166,3.399007736293307,(-38.737289943084946-831.6547141594233j)
167,3.419483686511941,(-291.0243850546976+605.5169855864409j)
168,3.4399596367305754,(-1044.793745111833+351.3601433356157j)
169,3.460435586949209,(-428.1760328371283+83.37891042241618j)
170,3.480911537167844,(374.8576971633287-810.7420511978064j)
171,3.501387487386478,(-249.84112215375546+1599.5287431816726j)
172,3.5218634376051123,(630.4128590578905-573.5863961134248j)
173,3.542339387823747,(-91.17375056295941+749.8176936923634j)
174,3.5628153380423813,(-593.4260465239422+2114.140416575857j)
175,3.583291288261016,(-45.7864524059259+656.7250892299305j)
176,3.60376723847965,(-53.97047780430978+470.7397239285978j)
177,3.6242431886982844,(861.1797710662887+94.02252710360847j)
178,3.644719138916919,(450.6901486367564+411.6402740407228j)
179,3.6651950891355534,(-532.6908378604203-1405.8721205560205j)
180,3.685671039354188,(-104.07934683594851+852.3894073570359j)
181,3.7061469895728223,(-928.8593234188004+670.345953957396j)
182,3.7266229397914565,(464.76179099905625+617.6897318921754j)
