,f (/days),component
0,0.0,(253526.19999999998+6.0822458181064576e-12j)
1,5.606009642336585e-05,(917.4229806894868+2456.111338102564j)
2,0.0001121201928467317,(-1116.606597989544-142.86668263853363j)
3,0.00016818028927009755,(-356.5317515912274+1185.6218997107899j)
4,0.0002242403856934634,(713.5015723263235-1407.2067538905808j)
5,0.00028030048211682924,(-2100.8747979495333+1184.9278789747937j)
6,0.0003363605785401951,(1403.503883009001+695.602863290383j)
7,0.00039242067496356094,(87.88684119552241+330.46480906464694j)
8,0.0004484807713869268,(801.3634421281491-299.1575445770472j)
9,0.0005045408678102926,(-163.75849888371087-94.48397400767195j)
10,0.0005606009642336585,(-30.442120596322415+764.7805988525458j)
11,0.0006166610606570243,(587.3775020353197-492.5559438485641j)
12,0.0006727211570803902,(-875.5132099300843-284.46123792869184j)
13,0.000728781253503756,(-592.5659204491548+323.67830872209976j)
14,0.0007848413499271219,(225.6435188585726+341.41080138268086j)
15,0.0008409014463504877,(-112.5515518248327-121.3474839518475j)
16,0.0008969615427738536,(-601.8870239635517-747.8926178410692j)
17,0.0009530216391972194,(-336.4091711615546-586.7647884169176j)
18,0.0010090817356205853,(594.1562380108929-213.4339898882636j)
19,0.001065141832043951,(46.09894575072079+227.10854770942663j)
20,0.001121201928467317,(-1138.2119396407904-761.0957858234441j)
21,0.001177262024890683,(130.70666850097803+1106.5023035239217j)
22,0.0012333221213140487,(-402.1704309377478+740.0773095432559j)
23,0.0012893822177374144,(-1165.2409863012795-851.8611628844261j)
24,0.0013454423141607804,(657.6397777407883+66.1492992889935j)
25,0.0014015024105841463,(-720.0488981644238-347.10373030158604j)
26,0.001457562507007512,(71.09148369507949+888.2731893935198j)
27,0.0015136226034308778,(-57.04433050975093-326.6898439451188j)
28,0.0015696826998542438,(-856.2926342675564-178.74134242817104j)
29,0.0016257427962776097,(-977.9876978394383+369.74964340814574j)
30,0.0016818028927009755,(-179.20092037397535-624.1685131151132j)
31,0.0017378629891243412,(-503.9035577637871+219.78240568789778j)
32,0.0017939230855477072,(838.0265280844981+853.4376824303447j)
33,0.0018499831819710731,(-1254.9214251280491+1293.020593277717j)
34,0.0019060432783944389,(-1183.6817305251832+589.3721002544498j)
35,0.0019621033748178046,(-607.1915459268735-209.26136770224477j)
36,0.0020181634712411706,(-551.9932878507497-49.06526957081449j)
37,0.0020742235676645365,(-6.4957262938217575+84.85177201220333j)
38,0.002130283664087902,(-910.5712473405042+366.12024686278255j)
39,0.002186343760511268,(-1601.5024361401129+120.4864111682461j)
40,0.002242403856934634,(-493.3369888846694-238.48310891598518j)
41,0.002298463953358,(-655.5077149770555+452.5619078231142j)
42,0.002354524049781366,(-656.8952939347203+559.3465331722738j)
43,0.0024105841462047314,(-397.2659591670757+376.95352931405205j)
44,0.0024666442426280973,(-1776.7783899607061+649.042454341953j)
45,0.0025227043390514633,(-1166.1199950684472+261.1297376980343j)
46,0.002578764435474829,(-2481.3905604176994+133.61987896732273j)
47,0.0026348245318981948,(-2971.579968458146+2.0069570344355725j)
48,0.0026908846283215607,(-5648.788183451788-731.8849595636536j)
49,0.0027469447247449267,(32746.011265004887-586.9244560445841j)
50,0.0028030048211682927,(4793.594352071877+798.9987235688579j)
51,0.002859064917591658,(2121.17860403078+683.2847689504181j)
52,0.002915125014015024,(2144.7918999233343+71.56732473298814j)
53,0.00297118511043839,(295.0779620209706-407.34670530735207j)
54,0.0030272452068617556,(494.5054441816244+262.9522190983971j)
55,0.0030833053032851216,(1005.5607127869223+81.81921539573523j)
56,0.0031393653997084875,(1012.1989221574704-735.0981669094765j)
57,0.0031954254961318535,(1017.7129120798841+512.8373946694355j)
58,0.0032514855925552194,(613.6060497618471-228.4640863367432j)
59,0.003307545688978585,(696.1216265653288+283.83143309523075j)
60,0.003363605785401951,(336.1661450615986+4.079503744565159j)
61,0.003419665881825317,(-35.849049791001164+550.5618392048533j)
62,0.0034757259782486824,(206.38830696982836+1261.6414914673383j)
63,0.0035317860746720484,(460.3878148366296-648.0003088330519j)
64,0.0035878461710954143,(46.35762127433096+141.6117503560038j)
65,0.0036439062675187803,(-239.89390279585706-116.94708120337773j)
66,0.0036999663639421462,(513.1091547955701+153.7164941069734j)
67,0.0037560264603655118,(-63.113764624387755+38.23692775862818j)
68,0.0038120865567888777,(-40.36893326077251+788.7407138464262j)
69,0.0038681466532122437,(-818.8758086168979-525.56407157513j)
70,0.003924206749635609,(-98.77319497449052-4.043411233741459j)
71,0.003980266846058975,(416.44159716856564+745.2318187672847j)
72,0.004036326942482341,(193.75391655379434-38.2617403739975j)
73,0.004092387038905707,(532.0077369619618+398.0954998131124j)
74,0.004148447135329073,(488.82026459908525-174.6093997498185j)
75,0.004204507231752439,(-348.39172046705437+246.93526047666984j)
76,0.004260567328175804,(558.3906059677345-145.5538679723988j)
77,0.00431662742459917,(-318.1545818246743+609.6414315124287j)
78,0.004372687521022536,(366.95264749046316-1022.3937829815269j)
79,0.004428747617445902,(375.70479888561476+200.43378033227393j)
80,0.004484807713869268,(11.50024002134716+101.81670881965286j)
81,0.004540867810292634,(588.6985756535939+137.85631071290913j)
82,0.004596927906716,(-508.61758073414626+586.6550802217425j)
83,0.004652988003139366,(-18.474364870964706+603.5656095216838j)
84,0.004709048099562732,(-24.49119865433653-244.17787298612868j)
