,f (/days),component
0,0.0,(185719.99999999997+4.462208380573429e-12j)
1,5.606009642336585e-05,(227.46309255171244+636.5977803499442j)
2,0.0001121201928467317,(-801.0981471224209+1177.1035685946154j)
3,0.00016818028927009755,(-1265.3654007177997-1638.1768233819378j)
4,0.0002242403856934634,(85.07545724786776-1308.886095362022j)
5,0.00028030048211682924,(79.80562167887135+344.7002375145937j)
6,0.0003363605785401951,(-1542.6083114163148+440.4083593767479j)
7,0.00039242067496356094,(-1365.6560848716636-732.3477423271376j)
8,0.0004484807713869268,(-1066.9016681091841+189.02329410353454j)
9,0.0005045408678102926,(-1174.3220711840806-2152.423684709815j)
10,0.0005606009642336585,(-1113.7801587454046+761.4492626292953j)
11,0.0006166610606570243,(-446.2068907560534+351.15659112649763j)
12,0.0006727211570803902,(1327.5878488829276-1412.9306803653087j)
13,0.000728781253503756,(-2919.851229073651+264.9467920955363j)
14,0.0007848413499271219,(-484.37001760145006+218.1754843254968j)
15,0.0008409014463504877,(320.21463809796063-1075.0223127961463j)
16,0.0008969615427738536,(-266.00530488990637-63.5928096636995j)
17,0.0009530216391972194,(216.31888130206852+918.7609851560412j)
18,0.0010090817356205853,(1131.729739642933+137.79750875040733j)
19,0.001065141832043951,(-261.75996904754686-561.8486051937824j)
20,0.001121201928467317,(-508.3226533421602-6.624271260952227j)
21,0.001177262024890683,(-1833.8418357297082-243.53929939417944j)
22,0.0012333221213140487,(-1928.0656926882898-642.4188200440276j)
23,0.0012893822177374144,(1591.7874668020286-1592.4401124413366j)
24,0.0013454423141607804,(668.017691849524+651.1314370895318j)
25,0.0014015024105841463,(-680.9867536102511-614.7720204568087j)
26,0.001457562507007512,(-1003.1828787659756+756.6948196077742j)
27,0.0015136226034308778,(-444.56068658893474+1364.274019065823j)
28,0.0015696826998542438,(-578.7207973332141+838.7074972399693j)
29,0.0016257427962776097,(-1170.6861796651046+1028.0364837853167j)
30,0.0016818028927009755,(-242.83192569895294-255.61197626752835j)
31,0.0017378629891243412,(1153.664666413279-160.4339025692213j)
32,0.0017939230855477072,(-455.91470695004324+1688.7683660354605j)
33,0.0018499831819710731,(-1431.790646173394+15.92699516019033j)
34,0.0019060432783944389,(162.5348096893336-415.80932856606813j)
35,0.0019621033748178046,(-1162.3504591215549-172.77422170317266j)
36,0.0020181634712411706,(-59.35341805518165+61.83822677503199j)
37,0.0020742235676645365,(352.5154372929321+677.0257608173098j)
38,0.002130283664087902,(61.84656339950048+430.50139302254723j)
39,0.002186343760511268,(-532.7654561907137+170.11128380166434j)
40,0.002242403856934634,(-544.0824306012994+564.5434037692097j)
41,0.002298463953358,(-2329.488605065976-554.9695610244102j)
42,0.002354524049781366,(-946.3631248668657+96.7581859966815j)
43,0.0024105841462047314,(-2487.048747347402+1055.6217145374521j)
44,0.0024666442426280973,(-2605.930617757424-406.1674017419847j)
45,0.0025227043390514633,(-1234.958206264405+557.5745549630458j)
46,0.002578764435474829,(-3572.041282576511+201.29860394075467j)
