,f (/years),component
0,0.0,(325562.0999999999+7.247535904753022e-12j)
1,0.020475950218634378,(1668.7666964504906+3492.8681294901767j)
2,0.040951900437268755,(290.10591693117664+3307.9849745899364j)
3,0.06142785065590313,(-222.4570231448673+2531.199737494897j)
4,0.08190380087453751,(-571.6388019553249+2382.989657070259j)
5,0.10237975109317188,(573.9856886464063-2174.9402740350693j)
6,0.12285570131180626,(254.45692582265147+2024.7052760457252j)
7,0.14333165153044064,(-937.0664105738927+1361.4892792024734j)
8,0.16380760174907502,(1015.4034759785917+1928.373575531598j)
9,0.18428355196770937,(-3093.1396484507486+416.7207716382207j)
10,0.20475950218634376,(-329.7011486556456+531.3471832143367j)
11,0.22523545240497814,(563.9403060389296+150.457804073535j)
12,0.24571140262361252,(-813.7553371093405+336.47231981737195j)
13,0.26618735284224687,(102.09502625037533-1193.5086309122717j)
14,0.2866633030608813,(1419.756506081039+560.8988247305529j)
15,0.30713925327951563,(-160.70144165067478+1088.7802217175592j)
16,0.32761520349815004,(-1367.2966557020932+1254.6552988348187j)
17,0.3480911537167844,(-838.886818310353-1637.8159418481923j)
18,0.36856710393541875,(1596.3235227464756-803.4496507636256j)
19,0.3890430541540531,(1556.0119181101334-915.6453074460283j)
20,0.4095190043726875,(-2920.5058333995466+154.25291714397116j)
21,0.4299949545913219,(176.57548445433628-1566.8761658943201j)
22,0.4504709048099563,(738.7900708478876+1330.3547247177828j)
23,0.4709468550285906,(-306.62354181864845-77.48856427674932j)
24,0.49142280524722504,(-104.44067316881042-1734.2179297563468j)
25,0.5118987554658595,(-193.8957062665533-297.65054368621753j)
26,0.5323747056844937,(-143.79092406463445-1770.9712724504507j)
27,0.5528506559031281,(-1752.7731711552+838.075303618135j)
28,0.5733266061217626,(-291.1393115558616+134.42430898885408j)
29,0.5938025563403969,(2566.5510455638178-357.34368092222957j)
30,0.6142785065590313,(-509.81573722469807-205.39789874586216j)
31,0.6347544567776656,(-833.1565254063399-1897.0300256153455j)
32,0.6552304069963001,(-1837.9323530175425-2293.824981400312j)
33,0.6757063572149344,(-7.352941012658675+1446.3471777261072j)
34,0.6961823074335688,(-1883.9258345343858+1013.8707644428146j)
35,0.7166582576522031,(-1169.7691603024691-1318.6763469659218j)
36,0.7371342078708375,(-926.1979403296867-568.5619344518815j)
37,0.757610158089472,(-496.71520020293264-677.2791190452565j)
38,0.7780861083081062,(-838.8513032691241-676.3249230498463j)
39,0.7985620585267407,(-187.72320200167422+331.28166806673386j)
40,0.819038008745375,(19.24609190248522+81.96285236414597j)
41,0.8395139589640095,(-244.70080333884368+1070.7893656910783j)
42,0.8599899091826438,(-950.8120602128827+956.7196407340913j)
43,0.8804658594012781,(-1617.1864388174677+22.809243727287992j)
44,0.9009418096199125,(-1517.1113770037784-1253.267958351259j)
45,0.921417759838547,(-1550.9020984706438+147.37934974920853j)
46,0.9418937100571813,(-3042.169569389163-288.55151897493624j)
47,0.9623696602758156,(-4237.671367371624+299.25824536130494j)
48,0.9828456104944501,(-7763.130826405411-3752.9827246083246j)
49,1.0033215607130845,(43893.06925848345+14802.99595565857j)
50,1.023797510931719,(5571.413048345847+1794.773428132624j)
51,1.0442734611503532,(3345.161093040048+860.6735020511603j)
52,1.0647494113689875,(2228.704359711499+1406.5296853777168j)
53,1.085225361587622,(589.3109141029186+629.1604041140095j)
