,date,minimum temperature (degC)
0,1975-03-01,17.7
1,1975-03-02,18.4
2,1975-03-03,19.6
3,1975-03-04,19.6
4,1975-03-05,20.5
5,1975-03-06,21.4
6,1975-03-07,23.1
7,1975-03-08,22.8
8,1975-03-09,20.0
9,1975-03-10,20.5
10,1975-03-11,21.4
11,1975-03-12,20.8
12,1975-03-13,20.8
13,1975-03-14,22.8
14,1975-03-15,24.6
15,1975-03-16,24.1
16,1975-03-17,20.5
17,1975-03-18,20.8
18,1975-03-19,24.3
19,1975-03-20,18.9
20,1975-03-21,13.4
21,1975-03-22,11.1
22,1975-03-23,14.4
23,1975-03-24,18.9
24,1975-03-25,20.0
25,1975-03-26,20.5
26,1975-03-27,22.2
27,1975-03-28,23.5
28,1975-03-29,23.5
29,1975-03-30,24.2
30,1975-03-31,24.2
31,1975-04-01,17.3
32,1975-04-02,12.5
33,1975-04-03,14.2
34,1975-04-04,17.3
35,1975-04-05,19.0
36,1975-04-06,19.2
37,1975-04-07,18.4
38,1975-04-08,18.0
39,1975-04-09,18.4
40,1975-04-10,20.0
41,1975-04-11,18.7
42,1975-04-12,18.0
43,1975-04-13,17.3
44,1975-04-14,16.5
45,1975-04-15,17.3
46,1975-04-16,16.0
47,1975-04-17,16.9
48,1975-04-18,16.5
49,1975-04-19,15.5
50,1975-04-20,14.2
51,1975-04-21,16.0
52,1975-04-22,19.0
53,1975-04-23,18.4
54,1975-04-24,14.7
55,1975-04-25,11.6
56,1975-04-26,14.2
57,1975-04-27,13.5
58,1975-04-28,13.2
59,1975-04-29,15.2
60,1975-04-30,17.3
61,1975-05-01,16.3
62,1975-05-02,17.4
63,1975-05-03,14.6
64,1975-05-04,15.4
65,1975-05-05,15.4
66,1975-05-06,15.1
67,1975-05-07,15.1
68,1975-05-08,15.1
69,1975-05-09,15.1
70,1975-05-10,14.6
71,1975-05-11,10.6
72,1975-05-12,9.7
73,1975-05-13,10.6
74,1975-05-14,11.9
75,1975-05-15,11.2
76,1975-05-16,7.7
77,1975-05-17,9.7
78,1975-05-18,10.4
79,1975-05-19,11.2
80,1975-05-20,9.0
81,1975-05-21,11.4
82,1975-05-22,10.6
83,1975-05-23,12.5
84,1975-05-24,12.5
85,1975-05-25,6.7
86,1975-05-26,8.3
87,1975-05-27,6.6
88,1975-05-28,8.3
89,1975-05-29,8.2
90,1975-05-30,8.5
91,1975-05-31,7.1
92,1975-06-01,10.2
93,1975-06-02,10.8
94,1975-06-03,11.5
95,1975-06-04,12.3
96,1975-06-05,11.2
97,1975-06-06,8.1
98,1975-06-07,3.1
99,1975-06-08,7.8
100,1975-06-09,10.3
101,1975-06-10,10.8
102,1975-06-11,13.9
103,1975-06-12,11.5
104,1975-06-13,4.7
105,1975-06-14,3.1
106,1975-06-15,4.1
107,1975-06-16,4.1
108,1975-06-17,2.6
109,1975-06-18,3.7
110,1975-06-19,5.5
111,1975-06-20,7.0
